Category,Original,File
graphic-design,1缘影之夜.png,assets/portfolio/graphic-design/graphic-01.webp
graphic-design,2缘影之夜2026.png,assets/portfolio/graphic-design/graphic-02.webp
graphic-design,3kv主视觉.png,assets/portfolio/graphic-design/graphic-03.webp
graphic-design,4.山茶企业vi设计.png,assets/portfolio/graphic-design/graphic-04.webp
graphic-design,5.山茶vi.png,assets/portfolio/graphic-design/graphic-05.webp
graphic-design,6vi设计.png,assets/portfolio/graphic-design/graphic-06.webp
graphic-design,7vi设计.png,assets/portfolio/graphic-design/graphic-07.webp
graphic-design,8.麦当劳宣传.png,assets/portfolio/graphic-design/graphic-08.webp
graphic-design,9logo设计.png,assets/portfolio/graphic-design/graphic-09.webp
graphic-design,10海报设计.png,assets/portfolio/graphic-design/graphic-10.webp
graphic-design,11名片设计.png,assets/portfolio/graphic-design/graphic-11.webp
graphic-design,12文字排版设计.png,assets/portfolio/graphic-design/graphic-12.webp
graphic-design,13川剧变脸插画.png,assets/portfolio/graphic-design/graphic-13.webp
graphic-design,14电商海报.png,assets/portfolio/graphic-design/graphic-14.webp
graphic-design,15影视海报.png,assets/portfolio/graphic-design/graphic-15.webp
graphic-design,16波普艺术光碟.png,assets/portfolio/graphic-design/graphic-16.webp
graphic-design,17.png,assets/portfolio/graphic-design/graphic-17.webp
aigc-posters,1除夕（最终）.png,assets/portfolio/aigc-posters/poster-01.webp
aigc-posters,2元宵海报.png,assets/portfolio/aigc-posters/poster-02.webp
aigc-posters,3.妇女节海报.png,assets/portfolio/aigc-posters/poster-03.webp
aigc-posters,4.IP授权展.png,assets/portfolio/aigc-posters/poster-04.webp
aigc-posters,5.上海授权展.png,assets/portfolio/aigc-posters/poster-05.webp
aigc-posters,6.植树节.jpg,assets/portfolio/aigc-posters/poster-06.webp
aigc-posters,7.提线.png,assets/portfolio/aigc-posters/poster-07.webp
aigc-posters,8漫剧海报.png,assets/portfolio/aigc-posters/poster-08.webp
aigc-posters,9短剧海报.png,assets/portfolio/aigc-posters/poster-09.webp
aigc-posters,10影眼海报.png,assets/portfolio/aigc-posters/poster-10.webp
aigc-posters,11星核纪元.png,assets/portfolio/aigc-posters/poster-11.webp
aigc-posters,12一期生.png,assets/portfolio/aigc-posters/poster-12.webp
aigc-posters,13.0戏曲海报.png,assets/portfolio/aigc-posters/poster-13.webp
aigc-posters,13亚匹联联动.png,assets/portfolio/aigc-posters/poster-14.webp
aigc-posters,14亚匹联动2.png,assets/portfolio/aigc-posters/poster-15.webp
aigc-posters,15亚匹联易拉宝.png,assets/portfolio/aigc-posters/poster-16.webp
aigc-posters,15亚匹联联动3.png,assets/portfolio/aigc-posters/poster-17.webp
aigc-posters,16外国短剧海报.png,assets/portfolio/aigc-posters/poster-18.webp
aigc-posters,17水彩冬至5.png,assets/portfolio/aigc-posters/poster-19.webp
aigc-posters,18立春海报.png,assets/portfolio/aigc-posters/poster-20.webp
aigc-posters,19路线图设计.png,assets/portfolio/aigc-posters/poster-21.webp
aigc-posters,20南方小年.png,assets/portfolio/aigc-posters/poster-22.webp
